0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:30:56 +0800] "GET /o2o/resources/js/shop/productcategorylist.js HTTP/1.1" 200 3549
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:30:56 +0800] "GET /o2o/shopadmin/getproductcategorylist HTTP/1.1" 200 934
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:31:36 +0800] "POST /o2o/shopadmin/addproductcategorys HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:31:36 +0800] "GET /o2o/shopadmin/getproductcategorylist HTTP/1.1" 200 1313
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:31:53 +0800] "GET /o2o/shopadmin/productcategorymanagement HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:31:53 +0800] "GET /o2o/resources/js/shop/productcategorylist.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:31:53 +0800] "GET /o2o/shopadmin/getproductcategorylist HTTP/1.1" 200 1313
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:31:55 +0800] "GET /o2o/shopadmin/productcategorymanagement HTTP/1.1" 200 2050
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:31:55 +0800] "GET /o2o/resources/css/shop/productcategorymanagement.css HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:31:55 +0800] "GET /o2o/resources/js/shop/productcategorylist.js HTTP/1.1" 200 3549
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:31:55 +0800] "GET /o2o/shopadmin/getproductcategorylist HTTP/1.1" 200 1313
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:33:57 +0800] "GET /o2o/shopadmin/productcategorymanagement HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:33:57 +0800] "GET /o2o/resources/js/shop/productcategorylist.js HTTP/1.1" 200 3556
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:34:35 +0800] "GET /o2o/shopadmin/productcategorymanagement HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:34:35 +0800] "GET /o2o/resources/js/shop/productcategorylist.js HTTP/1.1" 200 3559
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:34:37 +0800] "GET /o2o/shopadmin/productcategorymanagement HTTP/1.1" 200 2050
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:34:37 +0800] "GET /o2o/resources/css/shop/productcategorymanagement.css HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:34:37 +0800] "GET /o2o/resources/js/shop/productcategorylist.js HTTP/1.1" 200 3559
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:34:49 +0800] "GET /o2o/shopadmin/productcategorymanagement HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:34:49 +0800] "GET /o2o/resources/js/shop/productcategorylist.js HTTP/1.1" 200 3555
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:34:49 +0800] "GET /o2o/shopadmin/getproductcategorylist HTTP/1.1" 200 1313
